symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
AARTIIND,AARTIIND.NS,Aarti Industries Limited,2026-08-12,894,HIGH_PRIORITY_CANDIDATE,True,True,80.0,False,None,True,True,True,True,False,True,530.9,69.6,479.2,469.4,,,0.97,0.103,,3.5,2.0,0.9,False,False,False,False,SOS,2026-08-12,False,True,False,False,131,"Bar vol_ratio=3.50x, spread_ratio=2.00x, close_pos=0.90. Candidate SOS: close=530.90 broke above range resistance=516.95 (+2.70%), strong close position=0.90 (threshold > 0.7), volume 3.50x avg (threshold >= 1.5x), spread 2.00x ATR",1025.95,93.2,36,False,"[HIGH_PRIORITY_CANDIDATE] Score: 80.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (479.2>469.4), RSI(14) Bullish (69.6), ATR Contraction (0.97<1.0)) | VSA: Vol Ratio: 3.50x, Close Pos: 0.90 | Candidate Event: SOS (Bar vol_ratio=3.50x, spread_ratio=2.00x, close_pos=0.90. Candidate SOS: close=530.90 broke above range resistance=516.95 (+2.70%), strong close position=0.90 (threshold > 0.7), volume 3.50x avg (threshold >= 1.5x), spread 2.00x ATR) | P&F Target: ₹1025.95 (+93.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,2026-08-12,894,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,True,False,False,True,True,True,1038.6,49.5,1075.13,1030.87,,,0.73,0.141,,0.46,0.92,0.89,False,False,False,False,LPS,2026-07-29,True,False,False,False,97,"Bar vol_ratio=0.52x, spread_ratio=0.70x, close_pos=0.58. Candidate LPS: higher low=1001.50 vs prior ST low=991.80 (+1.0%), holding above range support=972.72, low volume 0.52x avg (threshold < 0.75x), spread 0.70x ATR, close pos=0.58",1392.5,34.1,25,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.73<1.0), BBW Contraction) | VSA: Vol Ratio: 0.46x, Close Pos: 0.89 | Candidate Event: LPS (Bar vol_ratio=0.52x, spread_ratio=0.70x, close_pos=0.58. Candidate LPS: higher low=1001.50 vs prior ST low=991.80 (+1.0%), holding above range support=972.72, low volume 0.52x avg (threshold < 0.75x), spread 0.70x ATR, close pos=0.58) | P&F Target: ₹1392.50 (+34.1% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ADSL,ADSL.NS,Allied Digital Services Limited,2026-08-12,894,WATCHLIST,True,False,65.0,False,None,False,False,False,True,True,True,113.25,40.0,119.72,118.39,,,0.83,0.072,,0.52,0.44,0.25,False,False,True,False,LPS,2026-07-29,True,False,False,False,113,"Bar vol_ratio=0.63x, spread_ratio=0.88x, close_pos=0.64. Candidate LPS: higher low=112.00 vs prior Spring low=111.51 (+0.4%), holding above range support=111.51, low volume 0.63x avg (threshold < 0.75x), spread 0.88x ATR, close pos=0.64",275.59,143.3,50,False,"[WATCHLIST] Score: 65.0/100.0 | Mech Qual: FAIL (ATR Contraction (0.83<1.0), BBW Contraction) | VSA: Vol Ratio: 0.52x, Close Pos: 0.25, No Supply (Dry-up) | Candidate Event: LPS (Bar vol_ratio=0.63x, spread_ratio=0.88x, close_pos=0.64. Candidate LPS: higher low=112.00 vs prior Spring low=111.51 (+0.4%), holding above range support=111.51, low volume 0.63x avg (threshold < 0.75x), spread 0.88x ATR, close pos=0.64) | P&F Target: ₹275.59 (+143.3% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADSL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADSL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADSL&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ADFFOODS,ADFFOODS.NS,ADF Foods Limited,2026-08-12,894,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,False,False,True,False,True,261.65,36.1,294.3,264.81,,,0.99,0.262,,0.34,0.55,0.23,False,False,True,False,LPS,2026-08-11,True,False,False,False,111,"Bar vol_ratio=0.71x, spread_ratio=0.82x, close_pos=0.54. Candidate LPS: higher low=260.25 vs prior Spring low=255.85 (+1.7%), holding above range support=255.85, low volume 0.71x avg (threshold < 0.75x), spread 0.82x ATR, close pos=0.54",228.56,-12.6,17,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.99<1.0)) | VSA: Vol Ratio: 0.34x, Close Pos: 0.23, No Supply (Dry-up) | Candidate Event: LPS (Bar vol_ratio=0.71x, spread_ratio=0.82x, close_pos=0.54. Candidate LPS: higher low=260.25 vs prior Spring low=255.85 (+1.7%), holding above range support=255.85, low volume 0.71x avg (threshold < 0.75x), spread 0.82x ATR, close pos=0.54) | P&F Target: ₹228.56 (+-12.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,2026-08-12,894,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,False,False,True,False,True,1332.3,32.3,1473.18,1339.73,,,0.78,0.185,,0.86,1.27,0.31,False,False,False,False,LPS,2026-07-31,True,False,False,False,90,"Bar vol_ratio=0.56x, spread_ratio=0.81x, close_pos=0.68. Candidate LPS: higher low=1353.00 vs prior Spring low=1350.00 (+0.2%), holding above range support=1350.00, low volume 0.56x avg (threshold < 0.75x), spread 0.81x ATR, close pos=0.68",2880.8,116.2,31,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.78<1.0)) | VSA: Vol Ratio: 0.86x, Close Pos: 0.31 | Candidate Event: LPS (Bar vol_ratio=0.56x, spread_ratio=0.81x, close_pos=0.68. Candidate LPS: higher low=1353.00 vs prior Spring low=1350.00 (+0.2%), holding above range support=1350.00, low volume 0.56x avg (threshold < 0.75x), spread 0.81x ATR, close pos=0.68) | P&F Target: ₹2880.80 (+116.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIGREEN&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIGREEN&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIGREEN&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Limited,2026-08-12,894,WATCHLIST,True,False,61.0,False,None,True,False,False,False,False,True,3153.4,40.5,3344.36,2979.91,,,1.08,0.217,,0.42,1.07,0.12,False,False,False,False,LPS,2026-08-05,True,False,False,False,86,"Bar vol_ratio=0.55x, spread_ratio=0.49x, close_pos=0.81. Candidate LPS: higher low=3224.30 vs prior ST low=3150.00 (+2.4%), holding above range support=2902.00, low volume 0.55x avg (threshold < 0.75x), spread 0.49x ATR, close pos=0.81",3492.8,10.8,14,False,"[WATCHLIST] Score: 61.0/100.0 | Mech Qual: FAIL (Weekly WMA Up) | VSA: Vol Ratio: 0.42x, Close Pos: 0.12 | Candidate Event: LPS (Bar vol_ratio=0.55x, spread_ratio=0.49x, close_pos=0.81. Candidate LPS: higher low=3224.30 vs prior ST low=3150.00 (+2.4%), holding above range support=2902.00, low volume 0.55x avg (threshold < 0.75x), spread 0.49x ATR, close pos=0.81) | P&F Target: ₹3492.80 (+10.8% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AACUTAAS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACUTAAS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACUTAAS&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ADOR,ADOR.NS,Ador Welding Limited,2026-08-12,894,HIGH_PRIORITY_CANDIDATE,True,True,60.5,False,None,True,True,True,False,True,True,1478.7,57.8,1315.32,1157.34,,,1.17,0.118,,0.18,0.55,0.22,False,False,True,False,LPS,2026-07-27,True,False,False,False,123,"Bar vol_ratio=0.53x, spread_ratio=0.77x, close_pos=0.82. Candidate LPS: higher low=1481.60 vs prior ST low=1439.10 (+3.0%), holding above range support=1004.75, low volume 0.53x avg (threshold < 0.75x), spread 0.77x ATR, close pos=0.82",2093.0,41.5,19,False,"[HIGH_PRIORITY_CANDIDATE] Score: 60.5/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (1315.3>1157.3), RSI(14) Bullish (57.8), BBW Contraction) | VSA: Vol Ratio: 0.18x, Close Pos: 0.22, No Supply (Dry-up) | Candidate Event: LPS (Bar vol_ratio=0.53x, spread_ratio=0.77x, close_pos=0.82. Candidate LPS: higher low=1481.60 vs prior ST low=1439.10 (+3.0%), holding above range support=1004.75, low volume 0.53x avg (threshold < 0.75x), spread 0.77x ATR, close pos=0.82) | P&F Target: ₹2093.00 (+41.5% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,2026-08-12,894,HIGH_PRIORITY_CANDIDATE,True,True,60.5,False,None,False,True,True,True,True,True,28140.0,64.7,26484.73,26142.84,,,0.84,0.036,,1.29,1.12,0.78,False,False,False,False,SOS,2026-07-22,False,True,False,False,126,"Bar vol_ratio=1.57x, spread_ratio=1.46x, close_pos=0.95. Candidate SOS: close=28239.20 broke above range resistance=28175.68 (+0.23%), strong close position=0.95 (threshold > 0.7), volume 1.57x avg (threshold >= 1.5x), spread 1.46x ATR",40000.0,42.1,25,False,"[HIGH_PRIORITY_CANDIDATE] Score: 60.5/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (26484.7>26142.8), RSI(14) Bullish (64.7), ATR Contraction (0.84<1.0), BBW Contraction) | VSA: Vol Ratio: 1.29x, Close Pos: 0.78 | Candidate Event: SOS (Bar vol_ratio=1.57x, spread_ratio=1.46x, close_pos=0.95. Candidate SOS: close=28239.20 broke above range resistance=28175.68 (+0.23%), strong close position=0.95 (threshold > 0.7), volume 1.57x avg (threshold >= 1.5x), spread 1.46x ATR) | P&F Target: ₹40000.00 (+42.1% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ACI,ACI.NS,Archean Chemical Industries Limited,2026-08-12,893,WATCHLIST,True,False,60.0,False,None,False,False,False,True,False,True,506.05,39.0,534.85,557.42,,,0.99,0.174,,0.31,0.48,0.17,False,False,True,False,Spring,2026-08-12,False,False,True,False,99,"Bar vol_ratio=0.31x, spread_ratio=0.48x, close_pos=0.17. Candidate Spring: low=504.30 undercut prior support=505.00 by 0.14%, closed back above support at 506.05 (close pos=0.17, volume 0.31x avg, spread 0.48x ATR)",1413.0,179.2,58,False,"[WATCHLIST] Score: 60.0/100.0 | Mech Qual: FAIL (ATR Contraction (0.99<1.0)) | VSA: Vol Ratio: 0.31x, Close Pos: 0.17, No Supply (Dry-up) | Candidate Event: Spring (Bar vol_ratio=0.31x, spread_ratio=0.48x, close_pos=0.17. Candidate Spring: low=504.30 undercut prior support=505.00 by 0.14%, closed back above support at 506.05 (close pos=0.17, volume 0.31x avg, spread 0.48x ATR)) | P&F Target: ₹1413.00 (+179.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AACI&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACI&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACI&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,2026-08-12,894,QUALIFIED_CANDIDATE,True,True,57.5,False,None,True,False,False,True,True,True,206.99,39.2,219.39,211.96,,,0.72,0.073,,0.67,0.95,0.42,False,False,False,False,Spring,2026-08-12,False,False,True,False,116,"Bar vol_ratio=0.67x, spread_ratio=0.95x, close_pos=0.42. Candidate Spring: low=205.02 undercut prior support=206.70 by 0.81%, closed back above support at 206.99 (close pos=0.42, volume 0.67x avg, spread 0.95x ATR)",246.43,19.1,32,True,"[QUALIFIED_CANDIDATE] Score: 57.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.72<1.0), BBW Contraction) | VSA: Vol Ratio: 0.67x, Close Pos: 0.42 | Candidate Event: Spring (Bar vol_ratio=0.67x, spread_ratio=0.95x, close_pos=0.42. Candidate Spring: low=205.02 undercut prior support=206.70 by 0.81%, closed back above support at 206.99 (close pos=0.42, volume 0.67x avg, spread 0.95x ATR)) | P&F Target: ₹246.43 (+19.1% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
