symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,2026-08-12,875,DISQUALIFIED,True,False,43.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,888.7,80.8,689.93,690.18,,,1.4,0.375,,2.97,1.7,0.24,False,False,False,True,SOS,2026-08-10,False,True,False,False,88,"Bar vol_ratio=10.74x, spread_ratio=2.20x, close_pos=1.00. Candidate SOS: close=823.00 broke above range resistance=743.60 (+10.68%), strong close position=1.00 (threshold > 0.7), volume 10.74x avg (threshold >= 1.5x), spread 2.20x ATR",922.65,3.8,47,False,[DISQUALIFIED] Score: 43.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
3MINDIA,3MINDIA.NS,3M India Limited,2026-08-12,892,DISQUALIFIED,True,True,32.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,True,True,True,35935.0,59.1,33992.08,32722.04,,,1.0,0.05,,0.77,0.76,0.28,False,False,False,False,UTAD,2026-08-03,False,False,False,True,135,"Bar vol_ratio=1.53x, spread_ratio=1.70x, close_pos=0.57. Candidate UTAD: intrabar high=36660.00 exceeded range resistance=36353.52 (+0.84%), closed back below at 35955.00 (close pos=0.57), elevated volume 1.53x avg (threshold >= 1.5x), spread 1.70x ATR",65356.64,81.9,51,False,[DISQUALIFIED] Score: 32.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
5PAISA,5PAISA.NS,5Paisa Capital Limited,2026-08-12,893,DISQUALIFIED,True,True,30.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,True,False,True,387.05,61.9,353.94,333.31,,,0.95,0.137,,1.42,1.14,0.68,False,False,False,False,UTAD,2026-07-03,False,False,False,True,130,"Bar vol_ratio=2.09x, spread_ratio=1.20x, close_pos=0.32. Candidate UTAD: intrabar high=398.00 exceeded range resistance=394.00 (+1.02%), closed back below at 387.65 (close pos=0.32), elevated volume 2.09x avg (threshold >= 1.5x), spread 1.20x ATR",676.65,74.8,24,True,[DISQUALIFIED] Score: 30.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,2026-08-12,894,DISQUALIFIED,True,False,28.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,57.16,41.5,59.67,61.12,,,1.25,0.158,,0.7,0.98,0.07,False,False,False,False,ST,2026-08-12,False,False,False,False,153,"Bar vol_ratio=0.70x, spread_ratio=0.98x, close_pos=0.07. Candidate ST: retest of SC low area (SC low=57.50, bar low=57.02, diff=0.8%), volume 0.70x avg strictly lower than SC volume 4.95x, spread 0.98x ATR, close pos=0.07",88.93,55.6,5,False,[DISQUALIFIED] Score: 28.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AABFRL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABFRL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABFRL&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ACMESOLAR,ACMESOLAR.NS,Acme Solar Holdings Limited,2026-08-12,435,DISQUALIFIED,True,True,25.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,False,True,True,True,372.6,52.8,364.79,326.66,,,0.92,0.099,,0.33,0.55,0.68,False,True,False,False,UTAD,2026-07-14,False,False,False,True,54,"Bar vol_ratio=2.20x, spread_ratio=1.71x, close_pos=0.45. Candidate UTAD: intrabar high=398.65 exceeded range resistance=398.15 (+0.13%), closed back below at 384.60 (close pos=0.45), elevated volume 2.20x avg (threshold >= 1.5x), spread 1.71x ATR",401.6,7.8,16,False,[DISQUALIFIED] Score: 25.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,2026-08-12,894,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,False,False,True,True,True,1599.0,42.1,1599.72,1436.63,,,0.86,0.097,,0.79,1.23,0.48,False,False,False,False,UTAD,2026-07-08,False,False,False,True,105,"Bar vol_ratio=1.78x, spread_ratio=1.56x, close_pos=0.29. Candidate UTAD: intrabar high=1712.00 exceeded range resistance=1663.90 (+2.89%), closed back below at 1655.50 (close pos=0.29), elevated volume 1.78x avg (threshold >= 1.5x), spread 1.56x ATR",1805.3,12.9,9,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ACE,ACE.NS,Action Construction Equipment Limited,2026-08-12,894,DISQUALIFIED,True,True,15.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,False,False,True,1096.1,57.6,1002.49,939.99,,,1.2,0.173,,0.39,0.97,0.82,False,False,False,False,UTAD,2026-07-21,False,False,False,True,90,"Bar vol_ratio=10.56x, spread_ratio=2.36x, close_pos=0.39. Candidate UTAD: intrabar high=1081.80 exceeded range resistance=1047.00 (+3.32%), closed back below at 1035.50 (close pos=0.39), elevated volume 10.56x avg (threshold >= 1.5x), spread 2.36x ATR",1353.5,23.5,20,True,[DISQUALIFIED] Score: 15.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ACC,ACC.NS,ACC Limited,2026-08-12,894,DISQUALIFIED,True,False,15.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,True,True,1332.8,42.4,1354.13,1366.42,,,1.13,0.057,,0.65,0.86,0.35,False,False,False,False,LPS,2026-05-28,True,False,False,False,121,"Bar vol_ratio=0.00x, spread_ratio=0.00x, close_pos=0.50. Candidate LPS: higher low=1418.39 vs prior ST low=1349.39 (+5.1%), holding above range support=1244.50, low volume 0.00x avg (threshold < 0.75x), spread 0.00x ATR, close pos=0.50",2030.27,52.3,11,True,[DISQUALIFIED] Score: 15.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AACC&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACC&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACC&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ABREL,ABREL.NS,Aditya Birla Real Estate Limited,2026-08-12,894,DISQUALIFIED,True,True,15.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,False,True,True,True,1375.4,46.2,1357.34,1339.01,,,0.93,0.071,,0.47,1.15,0.09,False,False,False,False,UTAD,2026-07-31,False,False,False,True,120,"Bar vol_ratio=2.15x, spread_ratio=2.13x, close_pos=0.46. Candidate UTAD: intrabar high=1471.20 exceeded range resistance=1467.44 (+0.26%), closed back below at 1418.10 (close pos=0.46), elevated volume 2.15x avg (threshold >= 1.5x), spread 2.13x ATR",1769.65,28.7,32,True,[DISQUALIFIED] Score: 15.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AABREL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABREL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABREL&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,2026-08-12,894,DISQUALIFIED,True,False,15.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,False,False,False,True,410.95,54.9,390.99,365.98,,,1.03,0.1,,0.59,0.74,1.0,False,False,False,False,UTAD,2026-07-31,False,False,False,True,120,"Bar vol_ratio=3.04x, spread_ratio=1.55x, close_pos=0.49. Candidate UTAD: intrabar high=413.00 exceeded range resistance=411.40 (+0.39%), closed back below at 404.30 (close pos=0.49), elevated volume 3.04x avg (threshold >= 1.5x), spread 1.55x ATR",567.2,38.0,36,True,[DISQUALIFIED] Score: 15.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
