Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,290.50,298.00,288.20,296.75,296.75,1245000
2024-01-02,297.00,305.40,295.10,303.80,303.80,1852000
2024-01-03,304.00,306.90,299.00,301.20,301.20,1102000
2024-01-04,300.50,304.00,292.50,294.10,294.10,1430000
2024-01-05,293.00,295.80,285.00,287.50,287.50,2105000
2024-01-08,286.00,289.00,278.40,280.15,280.15,2890000
2024-01-09,281.00,284.50,275.00,276.30,276.30,3420000
2024-01-10,277.00,288.50,274.50,286.20,286.20,4120000
2024-01-11,287.00,295.00,284.00,291.80,291.80,2650000
2024-01-12,292.50,296.00,289.00,290.40,290.40,1540000
