Symbol,Company Name,Series,Exchange
HINDCOPPER,Hindustan Copper Limited,EQ,NSE
ANANTRAJ,Anant Raj Limited,EQ,NSE
APOLLO,Apollo Micro Systems Limited,EQ,NSE
BEL,Bharat Electronics Limited,EQ,NSE
EICHERMOT,Eicher Motors Limited,EQ,NSE
BAJFINANCE,Bajaj Finance Limited,EQ,NSE
TATASTEEL,Tata Steel Limited,EQ,NSE
M&M,Mahindra & Mahindra Limited,EQ,NSE
TCS,Tata Consultancy Services Limited,EQ,NSE
INFY,Infosys Limited,EQ,NSE
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,NSE
RELIANCE,Reliance Industries Limited,EQ,NSE
VEDL,Vedanta Limited,EQ,NSE
KALYANKJIL,Kalyan Jewellers India Limited,EQ,NSE
DIXON,Dixon Technologies Limited,EQ,NSE
SAMPLEBE,Sample Trade For Trade Stock,BE,NSE
SAMPLEBOND,Sample Non Equity Debt,GB,NSE
